Negative Feeling,marvel-31.3,4,"['despair', 'tire', 'worry', 'fret']"
Modify Activity,turn-26.6.1,4,"['convert', 'alter', 'change', 'morph']"
Privative Commit Activity,linger-53.1,4,"['hesitate', 'pause', 'scruple', 'linger']"
Residence Relation,lodge-46,4,"['reside', 'dwell', 'live', 'stay']"
Hire Activity,hire-13.5.3,4,"['employ', 'commission', 'hire', 'engage']"
Appraise Activity,price-54.4,4,"['estimate', 'price', 'value', 'appraise']"
Steal Activity,steal-10.5,4,"['plunder', 'rob', 'thieve', 'steal']"
Excretion Activity,breathe-40.1.2,4,"['pee', 'urinate', 'shit', 'defecate']"
Allow Activity,allow-64.1,4,"['authorize', 'tolerate', 'allow', 'permit']"
Barbeque Activity,preparing-26.3,3,"['grill', 'barbecue', 'barbeque']"
Grow Plant Activity,spray-9.7,3,"['plant', 'seed', 'sow']"
Constitutive Relation,comprise-107.2,3,"['constitute', 'encompass', 'comprise']"
Baseball Activity,throw-17.1,3,"['bat', 'bunt', 'pitch']"
Goal Directed Activity,work-73.2,3,"['work', 'labour', 'labor']"
Quarrel Activity,battle-36.4,3,"['quarrel', 'squabble', 'dispute']"
Threaten Activity,amuse-31.1,3,"['intimidate', 'threaten', 'menace']"
Forgive Activity,judgment-33.1,3,"['excuse', 'forgive', 'pardon']"
Negative Influence Activity,forbid-64.4,3,"['obstruct', 'impede', 'block']"
Punish Activity,prosecute-33.2,3,"['penalize', 'punish', 'sanction']"
Obligation State,require-103,3,"['need', 'require', 'necessitate']"
Negative Judgement,judgment-33.1,3,"['fault', 'decry', 'criticize']"
Explain Activity,transfer_mesg-37.1.1,3,"['elucidate', 'explain', 'illustrate']"
Search Activity,search-35.2,3,"['troll', 'search', 'scout']"
Dry Activity,other_cos-45.4,3,"['desiccate', 'dry', 'dehydrate']"
Bind Activity,tape-22.4,3,"['tie', 'truss', 'loop']"
Food Change of Physical State,other_cos-45.4,3,"['age', 'mellow', 'ripen']"
Rowing Sport,vehicle-51.4.1,3,"['kayak', 'raft', 'canoe']"
Reporting Activity,transfer_mesg-37.1.1,3,"['recite', 'summarize', 'narrate']"
Cause Worsen Activity,other_cos-45.4,3,"['worsen', 'degenerate', 'corrode']"
Bathe Activity,dress-41.1.1,3,"['shower', 'bathe', 'lave']"
Remove from Container,substance_emission-43.4,3,"['leak', 'spill', 'seep']"
Relational Process,act-114,3,"['perform', 'do', 'execute']"
Lazy Attitude,linger-53.1,3,"['dawdle', 'loaf', 'dally']"
Cause Change Color,other_cos-45.4,3,"['discolor', 'brighten', 'bleach']"
Exhibit Activity,reflexive_appearance-48.1.2,3,"['exhibit', 'display', 'show']"
Appoint Activity,appoint-29.1,3,"['appoint', 'nominate', 'designate']"
Cause Decrease Temperature,other_cos-45.4,3,"['cool', 'freeze', 'chill']"
Judge Activity,estimate-34.2,3,"['judge', 'assess', 'estimate']"
Educational Activity,hire-13.5.3,3,"['train', 'groom', 'prepare']"
Cause End Activity,other_cos-45.4,3,"['close', 'shut', 'halt']"
Introduce Activity,establish-55.5,3,"['introduce', 'innovate', 'launch']"
Directed Motion,other_cos-45.4,3,"['advance', 'ease', 'loop']"
Telephone Activity,initiate_communication-37.4.2,3,"['phone', 'call', 'telephone']"
Official Approve Activity,patent-101,3,"['certify', 'license', 'accredit']"
Bike Activity,vehicle-51.4.1,3,"['bike', 'bicycle', 'cycle']"
Create Hole Activity,carve-21.2,3,"['gouge', 'perforate', 'drill']"
Respect Activity,admire-31.2,3,"['admire', 'respect', 'esteem']"
Cause Begin Activity,engender-27.1,3,"['spark', 'actuate', 'instigate']"
Force Activity,compel-59.1,3,"['oblige', 'obligate', 'compel']"
Decrease Intensity Activity,other_cos-45.4,3,"['ease', 'dissipate', 'cool']"
Transportation Activity,drive-11.5,3,"['bus', 'truck', 'drive']"
Require Activity,require-103,3,"['need', 'require', 'demand']"
Broadcast Activity,other_cos-45.4,3,"['propagate', 'diffuse', 'air']"
Cause Dry Activity,other_cos-45.4,3,"['desiccate', 'dry', 'dehydrate']"
Ask Activity,beg-58.2,3,"['supplicate', 'request', 'importune']"
Facial Expression,nonverbal_expression-40.2,3,"['glare', 'frown', 'grimace']"
Cause Relate Activity,tape-22.4,3,"['tie', 'link', 'connect']"
Respond Activity,respond-113,3,"['react', 'reply', 'respond']"
Flavour Activity,butter-9.9,3,"['butter', 'salt', 'sugar']"
Flourish Activity,gorge-39.6,3,"['prosper', 'flourish', 'thrive']"
Roast Food Activity,cooking-45.3,3,"['char', 'broil', 'roast']"
Cover Activity,fill-9.8,3,"['blanket', 'cover', 'carpet']"
Disagree Activity,battle-36.4,3,"['tussle', 'collide', 'wrangle']"
Reaching Event State,get-13.5.1,3,"['reach', 'attain', 'get']"
Cause Increase Strength Activity,other_cos-45.4,3,"['strengthen', 'tone', 'energize']"
Saving Activity,keep-15.2,3,"['stockpile', 'hoard', 'keep']"
